task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
66	18/2872b8	11879	MEDAKA_CONSENSUS (barcode_59_026083024001)	COMPLETED	0	2026-08-19 17:13:36.825	2m 16s	2m 15s	361.1%	775.2 MB	7.1 GB	1.6 GB	585.7 MB
46	dd/38bb4b	3937820	AMPLICON_SORTER (barcode_58_026080721102)	COMPLETED	0	2026-08-19 17:00:41.270	15m 38s	15m 37s	232.8%	4.7 GB	10.9 GB	1.8 GB	1 GB
69	5e/cf3157	27743	MEDAKA_CONSENSUS (barcode_60_026084395002)	COMPLETED	0	2026-08-19 17:15:17.795	1m 57s	1m 57s	310.8%	657.5 MB	1.7 GB	1.4 GB	424.5 MB
70	a4/f16d27	31624	ALIGN_BAM (barcode_59_026083024001)	COMPLETED	0	2026-08-19 17:15:52.584	1m 46s	1m 46s	361.3%	840.2 MB	1.7 GB	731.2 MB	622.2 MB
73	c7/100422	57165	COUNT_REAL_READS (barcode_59_026083024001)	COMPLETED	0	2026-08-19 17:17:38.424	2s	1.7s	139.1%	20.1 MB	166.7 MB	446.4 MB	308.9 MB
71	46/7873b6	38568	MEDAKA_CONSENSUS (barcode_58_026080721102)	COMPLETED	0	2026-08-19 17:16:19.073	2m 5s	2m 4s	344.4%	686.7 MB	7.3 GB	2 GB	854.7 MB
72	60/df8378	53904	ALIGN_BAM (barcode_60_026084395002)	COMPLETED	0	2026-08-19 17:17:15.280	1m 14s	1m 13s	358.6%	617.8 MB	1.6 GB	527.2 MB	447.6 MB
75	9f/29e8cb	61850	COUNT_REAL_READS (barcode_60_026084395002)	COMPLETED	0	2026-08-19 17:18:29.074	1.6s	1.3s	139.8%	5.2 MB	37.5 MB	325.9 MB	226.5 MB
74	b4/9a6d93	61022	ALIGN_BAM (barcode_58_026080721102)	COMPLETED	0	2026-08-19 17:18:23.896	1m 36s	1m 36s	343.3%	730.2 MB	1.7 GB	1023.1 MB	859.7 MB
76	0d/1b743f	66796	COUNT_REAL_READS (barcode_58_026080721102)	COMPLETED	0	2026-08-19 17:19:59.886	2.6s	2.3s	137.3%	23.8 MB	166.7 MB	660.5 MB	474.7 MB
49	af/febb7d	4124595	AMPLICON_SORTER (barcode_62_TPOSP020)	COMPLETED	0	2026-08-19 17:06:53.163	17m 31s	17m 31s	206.2%	6.4 GB	12.7 GB	2.2 GB	1.3 GB
77	30/e3a309	76570	MEDAKA_CONSENSUS (barcode_62_TPOSP020)	COMPLETED	0	2026-08-19 17:24:24.077	2m 41s	2m 41s	448.2%	937.1 MB	7.1 GB	2.5 GB	1.2 GB
79	18/b88c20	88743	COLLECT_CONSENSUS	COMPLETED	0	2026-08-19 17:27:05.007	381ms	9ms	129.7%	0	0	327.6 KB	168.9 KB
78	aa/eae71a	88733	ALIGN_BAM (barcode_62_TPOSP020)	COMPLETED	0	2026-08-19 17:27:05.002	3m	3m	351.0%	1.4 GB	1.9 GB	1.5 GB	1.3 GB
80	3f/41372c	145480	COUNT_REAL_READS (barcode_62_TPOSP020)	COMPLETED	0	2026-08-19 17:30:05.234	3.8s	3.5s	137.0%	25.9 MB	166.7 MB	976.4 MB	690.6 MB
81	2c/5a2de6	146512	GENOTYPING	COMPLETED	0	2026-08-19 17:30:09.089	12.2s	11.9s	97.1%	186.3 MB	686.6 MB	44 MB	295.3 KB
89	9a/9edb2f	150933	ALIGN_GENOTYPE_BAM (barcode_64_026080721102xPCR1test_E)	COMPLETED	0	2026-08-19 17:30:21.394	845ms	431ms	192.6%	3.2 MB	18.8 MB	10 MB	8 MB
